id,id_vente,prix_total,date_vente,qte_medicament,medicament
7302,2068,346675,2019-06-09 00:00:00,35,2
7301,2881,310464,2019-06-07 00:00:00,36,89
7300,2640,330747,2019-06-07 00:00:00,41,44
7299,2306,127368,2019-06-24 00:00:00,18,42
7298,2591,71655,2019-06-05 00:00:00,15,92
7297,2760,45991,2019-06-26 00:00:00,37,23
7296,2292,183600,2019-06-05 00:00:00,40,78
7295,2240,188697,2019-06-06 00:00:00,31,36
7294,2248,417915,2019-06-04 00:00:00,45,38
7293,2084,264928,2019-06-07 00:00:00,34,0
7292,2590,37758,2019-06-17 00:00:00,29,9
7291,2632,163921,2019-06-12 00:00:00,23,12
7290,2318,101360,2019-06-14 00:00:00,14,58
7289,2164,306546,2019-06-25 00:00:00,38,44
7288,2865,171048,2019-06-07 00:00:00,24,12
7287,2938,120720,2019-06-19 00:00:00,30,81
7286,2558,198352,2019-06-11 00:00:00,23,89
7285,2891,144800,2019-06-23 00:00:00,20,58
7284,2207,211344,2019-06-14 00:00:00,28,66
7283,2458,84150,2019-06-01 00:00:00,10,65
7282,2802,176922,2019-06-05 00:00:00,18,35
7281,2401,307170,2019-06-02 00:00:00,45,34
7280,2887,117908,2019-06-16 00:00:00,14,29
7279,2924,330582,2019-06-24 00:00:00,42,10
7278,2733,134176,2019-06-04 00:00:00,16,76
7277,2926,83184,2019-06-17 00:00:00,24,1
7276,2687,256662,2019-06-04 00:00:00,42,80
7275,2740,235896,2019-06-26 00:00:00,24,35
7274,2266,122220,2019-06-04 00:00:00,20,80
7273,2713,202592,2019-06-03 00:00:00,26,0
7272,2959,68706,2019-06-14 00:00:00,22,15
7271,2538,222888,2019-06-06 00:00:00,24,38
7270,2939,188050,2019-06-10 00:00:00,25,40
7269,2482,187488,2019-06-18 00:00:00,21,20
7268,2339,246582,2019-06-02 00:00:00,38,24
7267,2116,118304,2019-06-28 00:00:00,32,71
7266,2938,138533,2019-06-26 00:00:00,29,92
7265,2723,139305,2019-06-04 00:00:00,15,38
7264,2819,192780,2019-06-27 00:00:00,42,78
7263,2461,100800,2019-06-09 00:00:00,32,51
7262,2634,100800,2019-06-13 00:00:00,32,51
7261,2693,119592,2019-06-27 00:00:00,22,3
7260,2544,144648,2019-06-23 00:00:00,21,70
7259,2782,143174,2019-06-18 00:00:00,17,29
7258,2575,247660,2019-06-12 00:00:00,35,42
7257,2676,49837,2019-06-04 00:00:00,19,27
7256,2639,133110,2019-06-09 00:00:00,29,78
7255,2176,223872,2019-06-27 00:00:00,24,17
7254,2248,148888,2019-06-25 00:00:00,37,81
7253,2358,77610,2019-06-02 00:00:00,39,39
7252,2289,157264,2019-06-03 00:00:00,16,35
7251,2120,94864,2019-06-13 00:00:00,11,89
7250,2388,253022,2019-06-23 00:00:00,31,30
7249,2282,315924,2019-06-29 00:00:00,42,40
7248,2576,96570,2019-06-08 00:00:00,45,46
7247,2901,94120,2019-06-09 00:00:00,13,58
7246,2717,178560,2019-06-07 00:00:00,20,20
7245,2984,178290,2019-06-15 00:00:00,18,2
7244,2309,97944,2019-06-29 00:00:00,12,30
7243,2862,78397,2019-06-29 00:00:00,11,12
7242,2847,37476,2019-06-09 00:00:00,12,15
7241,2435,105094,2019-06-10 00:00:00,22,92
7240,2871,231680,2019-06-19 00:00:00,32,58
7239,2140,307190,2019-06-10 00:00:00,34,69
7238,2428,109356,2019-06-27 00:00:00,13,5
7237,2304,243945,2019-06-13 00:00:00,27,69
7236,2560,219356,2019-06-18 00:00:00,31,42
7235,2086,148048,2019-06-25 00:00:00,19,0
7234,2110,301896,2019-06-29 00:00:00,36,76
7233,2617,209742,2019-06-20 00:00:00,26,44
7232,2348,226530,2019-06-05 00:00:00,30,22
7231,2188,149247,2019-06-18 00:00:00,23,24
7230,2213,252450,2019-06-10 00:00:00,30,65
7229,2596,194800,2019-06-29 00:00:00,25,0
7228,2574,83184,2019-06-14 00:00:00,24,1
7227,2577,233200,2019-06-16 00:00:00,25,17
7226,2650,304392,2019-06-27 00:00:00,44,18
7225,2558,127408,2019-06-22 00:00:00,16,87
7224,2945,266214,2019-06-28 00:00:00,39,34
7223,2333,151416,2019-06-27 00:00:00,18,5
7222,2270,234808,2019-06-01 00:00:00,28,76
7221,2052,116880,2019-06-13 00:00:00,15,0
7220,2904,43520,2019-06-21 00:00:00,17,6
7219,2525,210550,2019-06-07 00:00:00,25,29
7218,2180,255966,2019-06-04 00:00:00,37,18
7217,2907,58767,2019-06-19 00:00:00,19,16
7216,2387,260676,2019-06-28 00:00:00,36,67
7215,2696,45058,2019-06-19 00:00:00,13,1
7214,2209,180528,2019-06-26 00:00:00,24,40
7213,2942,100632,2019-06-16 00:00:00,12,76
7212,2990,289600,2019-06-28 00:00:00,40,58
7211,2721,110313,2019-06-07 00:00:00,17,24
7210,2233,282345,2019-06-14 00:00:00,35,44
7209,2287,112464,2019-06-16 00:00:00,44,86
7208,2956,119425,2019-06-08 00:00:00,25,92
7207,2466,123930,2019-06-19 00:00:00,27,78
7206,2558,162630,2019-06-12 00:00:00,18,69
7205,2324,177476,2019-06-24 00:00:00,26,34
7204,2791,48174,2019-06-20 00:00:00,37,9
7203,2354,55083,2019-06-15 00:00:00,21,27
7202,2439,234808,2019-06-15 00:00:00,28,76
7201,2532,269280,2019-06-23 00:00:00,32,65
7200,2062,188904,2019-06-07 00:00:00,24,10
7199,2987,79236,2019-06-23 00:00:00,31,86
7198,2698,332244,2019-06-24 00:00:00,44,22
7197,2643,304392,2019-06-15 00:00:00,44,18
7196,2393,97944,2019-06-02 00:00:00,12,30
7195,2364,114156,2019-06-16 00:00:00,21,3
7194,2176,268344,2019-06-15 00:00:00,36,55
7193,2304,202592,2019-06-29 00:00:00,26,0
7192,2981,127827,2019-06-28 00:00:00,21,36
7191,2337,115551,2019-06-03 00:00:00,37,15
7190,2320,228294,2019-06-22 00:00:00,33,18
7189,2958,228536,2019-06-08 00:00:00,28,30
7188,2084,97335,2019-06-02 00:00:00,15,24
7187,2201,196416,2019-06-21 00:00:00,22,20
7186,2391,37810,2019-06-25 00:00:00,19,39
7185,2110,111348,2019-06-28 00:00:00,36,16
7184,2838,128043,2019-06-09 00:00:00,41,15
7183,2902,58788,2019-06-12 00:00:00,23,86
7182,2193,39800,2019-06-21 00:00:00,20,39
7181,2644,320716,2019-06-17 00:00:00,44,7
7180,2360,151470,2019-06-17 00:00:00,33,78
7179,2605,157388,2019-06-04 00:00:00,28,57
7178,2593,300880,2019-06-08 00:00:00,40,40
7177,2845,69300,2019-06-02 00:00:00,22,51
7176,2980,74540,2019-06-09 00:00:00,10,55
7175,2454,76067,2019-06-09 00:00:00,29,27
7174,2371,197954,2019-06-20 00:00:00,29,34
7173,2341,192878,2019-06-28 00:00:00,23,76
7172,2723,105162,2019-06-23 00:00:00,34,16
7171,2470,267828,2019-06-19 00:00:00,44,36
7170,2993,61344,2019-06-13 00:00:00,24,86
7169,2202,120768,2019-06-12 00:00:00,16,66
7168,2041,339264,2019-06-11 00:00:00,38,20
7167,2455,113216,2019-06-16 00:00:00,16,42
7166,2341,336480,2019-06-09 00:00:00,40,5
7165,2978,158576,2019-06-25 00:00:00,17,17
7164,2242,124920,2019-06-12 00:00:00,40,15
7163,2551,99015,2019-06-12 00:00:00,41,8
7162,2532,195857,2019-06-13 00:00:00,41,92
7161,2734,370260,2019-06-14 00:00:00,44,65
7160,2792,15624,2019-06-12 00:00:00,12,9
7159,2466,294631,2019-06-23 00:00:00,37,87
7158,2134,79600,2019-06-04 00:00:00,40,39
7157,2189,18645,2019-06-26 00:00:00,15,23
7156,2368,425915,2019-06-08 00:00:00,43,2
7155,2324,43505,2019-06-24 00:00:00,35,23
7154,2402,261082,2019-06-12 00:00:00,31,29
7153,2659,80480,2019-06-04 00:00:00,20,81
7152,2136,250551,2019-06-05 00:00:00,41,80
7151,2121,378540,2019-06-14 00:00:00,45,5
7150,2686,87560,2019-06-19 00:00:00,44,39
7149,2051,41592,2019-06-28 00:00:00,12,1
7148,2901,53550,2019-06-14 00:00:00,17,51
7147,2364,93582,2019-06-23 00:00:00,27,1
7146,2113,114378,2019-06-21 00:00:00,33,49
7145,2449,186751,2019-06-18 00:00:00,19,35
7144,2146,49968,2019-06-15 00:00:00,16,15
7143,2788,216166,2019-06-07 00:00:00,29,55
7142,2128,311344,2019-06-18 00:00:00,44,42
7141,2777,92565,2019-06-23 00:00:00,11,65
7140,2317,112672,2019-06-15 00:00:00,28,81
7139,2533,54360,2019-06-04 00:00:00,10,3
7138,2869,38126,2019-06-17 00:00:00,11,1
7137,2718,306969,2019-06-02 00:00:00,39,10
7136,2320,320522,2019-06-09 00:00:00,43,55
7135,2829,271728,2019-06-01 00:00:00,36,66
7134,2457,151767,2019-06-25 00:00:00,27,57
7133,2094,194670,2019-06-29 00:00:00,30,24
7132,2796,213528,2019-06-01 00:00:00,31,70
7131,2525,225959,2019-06-26 00:00:00,31,7
7130,2697,60870,2019-06-23 00:00:00,10,36
7129,2143,310156,2019-06-08 00:00:00,38,30
7128,2117,155274,2019-06-22 00:00:00,42,71
7127,2722,127408,2019-06-12 00:00:00,16,87
7126,2712,111810,2019-06-08 00:00:00,15,55
7125,2757,76800,2019-06-06 00:00:00,30,6
7124,2104,120736,2019-06-01 00:00:00,14,89
7123,2944,155840,2019-06-27 00:00:00,20,0
7122,2446,215001,2019-06-24 00:00:00,27,87
7121,2198,158480,2019-06-07 00:00:00,16,2
7120,2969,49358,2019-06-26 00:00:00,23,46
7119,2948,103770,2019-06-11 00:00:00,15,18
7118,2470,84220,2019-06-09 00:00:00,10,29
7117,2033,350640,2019-06-07 00:00:00,45,0
7116,2695,286824,2019-06-26 00:00:00,38,66
7115,2507,255748,2019-06-09 00:00:00,34,40
7114,2317,59670,2019-06-15 00:00:00,13,78
7113,2966,107446,2019-06-21 00:00:00,31,49
7112,2865,241632,2019-06-16 00:00:00,32,22
7111,2487,81912,2019-06-02 00:00:00,12,34
7110,2068,173162,2019-06-17 00:00:00,22,10
7109,2491,106106,2019-06-01 00:00:00,13,30
7108,2480,125925,2019-06-11 00:00:00,23,31
7107,2060,148087,2019-06-14 00:00:00,31,92
7106,2507,125790,2019-06-28 00:00:00,15,76
7105,2739,160875,2019-06-21 00:00:00,33,83
7104,2357,343826,2019-06-16 00:00:00,41,76
7103,2887,65700,2019-06-17 00:00:00,12,31
7102,2628,33810,2019-06-05 00:00:00,14,8
7101,2251,196416,2019-06-15 00:00:00,22,20
7100,2705,31230,2019-06-16 00:00:00,10,15
7099,2312,252980,2019-06-09 00:00:00,28,69
7098,2239,195480,2019-06-23 00:00:00,27,58
7097,2392,159334,2019-06-13 00:00:00,19,76
7096,2612,277340,2019-06-13 00:00:00,28,2
7095,2563,228312,2019-06-01 00:00:00,42,3
7094,2169,56232,2019-06-17 00:00:00,22,86
7093,2911,176715,2019-06-26 00:00:00,21,65
7092,2011,360598,2019-06-17 00:00:00,43,76
7091,2513,75110,2019-06-23 00:00:00,35,46
7090,2010,306138,2019-06-22 00:00:00,42,7
7089,2923,346675,2019-06-18 00:00:00,35,2
7088,2509,162668,2019-06-22 00:00:00,44,71
7087,2451,209650,2019-06-27 00:00:00,25,76
7086,2235,182225,2019-06-03 00:00:00,25,7
7085,2621,111348,2019-06-05 00:00:00,36,16
7084,2394,22134,2019-06-11 00:00:00,17,9
7083,2727,249344,2019-06-18 00:00:00,32,0
7082,2146,280512,2019-06-06 00:00:00,36,0
7081,2607,103887,2019-06-25 00:00:00,17,80
7080,2484,60870,2019-06-03 00:00:00,10,36
7079,2755,310557,2019-06-20 00:00:00,39,87
7078,2850,159260,2019-06-09 00:00:00,20,87
7077,2123,267917,2019-06-24 00:00:00,37,67
7076,2120,73630,2019-06-22 00:00:00,37,39
7075,2265,179564,2019-06-27 00:00:00,22,30
7074,2292,167195,2019-06-11 00:00:00,35,92
7073,2676,101178,2019-06-11 00:00:00,18,57
7072,2219,57324,2019-06-16 00:00:00,12,92
7071,2774,285080,2019-06-16 00:00:00,40,12
7070,2773,82742,2019-06-13 00:00:00,11,40
7069,2953,81198,2019-06-11 00:00:00,26,15
7068,2169,195552,2019-06-13 00:00:00,32,80
7067,2796,108648,2019-06-24 00:00:00,27,81
7066,2241,308402,2019-06-21 00:00:00,41,40
7065,2910,110910,2019-06-28 00:00:00,30,71
7064,2968,252945,2019-06-16 00:00:00,45,57
7063,2235,243194,2019-06-06 00:00:00,29,76
7062,2830,214458,2019-06-02 00:00:00,31,18
7061,2160,201264,2019-06-01 00:00:00,24,76
7060,2561,70760,2019-06-20 00:00:00,10,42
7059,2666,142848,2019-06-11 00:00:00,16,20
7058,2361,114378,2019-06-28 00:00:00,33,49
7057,2136,142540,2019-06-12 00:00:00,20,12
7056,2763,336480,2019-06-06 00:00:00,40,5
7055,2970,149080,2019-06-04 00:00:00,20,55
7054,2400,90612,2019-06-09 00:00:00,12,22
7053,2666,144820,2019-06-27 00:00:00,20,67
7052,2891,166543,2019-06-10 00:00:00,23,67
7051,2508,335808,2019-06-18 00:00:00,36,17
7050,2018,83061,2019-06-09 00:00:00,11,22
7049,2773,27860,2019-06-17 00:00:00,14,39
7048,2730,215600,2019-06-01 00:00:00,25,89
7047,2779,79600,2019-06-27 00:00:00,40,39
7046,2729,105714,2019-06-03 00:00:00,14,22
7045,2716,124524,2019-06-08 00:00:00,18,18
7044,2088,42262,2019-06-14 00:00:00,34,23
7043,2113,106799,2019-06-20 00:00:00,19,57
7042,2665,86240,2019-06-04 00:00:00,10,89
7041,2867,268632,2019-06-14 00:00:00,39,70
7040,2256,76456,2019-06-24 00:00:00,19,81
7039,2954,135525,2019-06-08 00:00:00,15,69
7038,2644,158886,2019-06-06 00:00:00,26,80
7037,2150,98163,2019-06-12 00:00:00,13,22
7036,2021,40240,2019-06-26 00:00:00,10,81
7035,2993,72450,2019-06-03 00:00:00,30,8
7034,2378,54684,2019-06-06 00:00:00,42,9
7033,2755,85031,2019-06-14 00:00:00,23,71
7032,2769,73630,2019-06-11 00:00:00,37,39
7031,2516,124992,2019-06-13 00:00:00,14,20
7030,2147,109620,2019-06-21 00:00:00,21,90
7029,2254,258144,2019-06-15 00:00:00,32,44
7028,2272,78690,2019-06-07 00:00:00,30,27
7027,2073,65232,2019-06-08 00:00:00,12,3
7026,2180,35820,2019-06-03 00:00:00,18,39
7025,2075,293518,2019-06-20 00:00:00,43,34
7024,2150,185740,2019-06-29 00:00:00,20,38
7023,2872,156060,2019-06-04 00:00:00,34,78
7022,2764,70821,2019-06-21 00:00:00,27,27
7021,2369,76456,2019-06-22 00:00:00,19,81
7020,2413,126225,2019-06-25 00:00:00,15,65
7019,2986,81920,2019-06-17 00:00:00,32,6
7018,2023,37800,2019-06-05 00:00:00,12,51
7017,2513,249984,2019-06-08 00:00:00,28,20
7016,2912,157264,2019-06-02 00:00:00,16,35
7015,2720,89280,2019-06-06 00:00:00,10,20
7014,2053,288304,2019-06-01 00:00:00,37,0
7013,2414,143346,2019-06-02 00:00:00,21,34
7012,2673,40362,2019-06-17 00:00:00,31,9
7011,2804,46080,2019-06-26 00:00:00,18,6
7010,2407,330336,2019-06-27 00:00:00,37,20
7009,2955,162225,2019-06-22 00:00:00,25,24
7008,2728,158775,2019-06-18 00:00:00,29,31
7007,2451,96813,2019-06-15 00:00:00,31,15
7006,1071,330624,2019-04-12 00:00:00,48,70
7005,1966,344015,2019-03-27 00:00:00,35,35
7004,1872,396200,2019-05-30 00:00:00,40,2
7003,1867,182700,2019-02-04 00:00:00,35,90
7002,1306,317152,2019-03-23 00:00:00,34,17
7001,1899,260928,2019-02-14 00:00:00,48,3
7000,1969,169834,2019-01-05 00:00:00,49,49
6999,1838,136816,2019-05-27 00:00:00,34,81
6998,1097,396704,2019-03-26 00:00:00,46,89
6997,1371,277695,2019-01-23 00:00:00,33,65
6996,1982,102240,2019-02-15 00:00:00,40,86
6995,1580,102400,2019-03-12 00:00:00,40,6
6994,1686,275798,2019-05-16 00:00:00,37,55
6993,1805,285836,2019-02-10 00:00:00,38,40
6992,1963,319472,2019-04-12 00:00:00,41,0
6991,1811,296096,2019-02-21 00:00:00,38,0
6990,1956,314840,2019-02-04 00:00:00,40,10
6989,1940,246160,2019-03-14 00:00:00,34,58
6988,1533,266211,2019-01-10 00:00:00,33,44
6987,1283,149904,2019-03-26 00:00:00,48,15
6986,1726,219996,2019-05-03 00:00:00,36,80
6985,1993,122850,2019-01-13 00:00:00,39,51
6984,1661,366224,2019-04-08 00:00:00,47,0
6983,1759,219375,2019-05-12 00:00:00,45,83
6982,1842,310557,2019-01-30 00:00:00,39,87
6981,1653,296881,2019-02-10 00:00:00,41,67
6980,1339,259743,2019-02-09 00:00:00,33,10
6979,1139,159436,2019-02-02 00:00:00,46,1
6978,1997,81548,2019-03-23 00:00:00,38,46
6977,1422,268344,2019-03-20 00:00:00,36,55
6976,1153,362066,2019-05-02 00:00:00,46,10
6975,1786,86904,2019-01-22 00:00:00,34,86
6974,1594,105162,2019-03-23 00:00:00,34,16
6973,1086,278314,2019-03-09 00:00:00,37,40
6972,1243,261741,2019-02-27 00:00:00,43,36
6971,1034,367290,2019-03-02 00:00:00,45,30
6970,1752,193152,2019-01-13 00:00:00,48,81
6969,1777,377370,2019-04-18 00:00:00,45,76
6968,1215,247660,2019-03-02 00:00:00,35,42
6967,1763,219742,2019-01-17 00:00:00,46,92
6966,1846,145572,2019-03-16 00:00:00,42,49
6965,1040,313588,2019-05-29 00:00:00,44,12
6964,1705,128242,2019-03-21 00:00:00,37,1
6963,1579,256632,2019-05-02 00:00:00,34,66
6962,1448,94424,2019-03-25 00:00:00,44,46
6961,1235,383904,2019-03-07 00:00:00,43,20
6960,1537,61194,2019-05-30 00:00:00,47,9
6959,1439,61690,2019-02-07 00:00:00,31,39
6958,1800,302040,2019-02-10 00:00:00,40,22
6957,1991,244440,2019-01-14 00:00:00,40,80
6956,1322,165750,2019-05-26 00:00:00,34,83
6955,1895,316960,2019-01-04 00:00:00,32,2
6954,1551,245736,2019-04-03 00:00:00,36,34
6953,1742,244001,2019-05-17 00:00:00,31,10
6952,1062,125440,2019-01-06 00:00:00,49,6
6951,1610,248226,2019-05-26 00:00:00,33,40
6950,1443,286089,2019-02-13 00:00:00,47,36
6949,1752,317961,2019-04-12 00:00:00,49,24
6948,1222,194784,2019-05-06 00:00:00,32,36
6947,1172,390054,2019-04-03 00:00:00,42,38
6946,1974,378675,2019-03-18 00:00:00,45,65
6945,1729,177456,2019-01-24 00:00:00,48,71
6944,1737,362448,2019-04-25 00:00:00,48,22
6943,1040,332572,2019-05-26 00:00:00,47,42
6942,1120,290706,2019-03-15 00:00:00,39,55
6941,1502,229950,2019-05-26 00:00:00,42,31
6940,1033,121797,2019-05-15 00:00:00,39,15
6939,1951,253435,2019-02-01 00:00:00,35,67
6938,1896,169834,2019-02-05 00:00:00,49,49
6937,1175,175200,2019-03-15 00:00:00,32,31
6936,1782,262779,2019-02-19 00:00:00,33,87
6935,1650,447744,2019-03-09 00:00:00,48,17
6934,1049,297192,2019-05-12 00:00:00,42,42
6933,1390,255748,2019-04-04 00:00:00,34,40
6932,1460,290556,2019-02-06 00:00:00,42,18
6931,1839,363792,2019-01-22 00:00:00,39,17
